loanamount,totaldue,termdays,referred,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,age_group,payment_status,avg_credit_score,loan_approval_time_min,loan_counts,max_loan_amount,avg_loan_amount,repayment_ratio,loan_default_risk
30000.0,34500.0,30,False,Other,3.4320102,6.4330553,Diamond Bank,Permanent,51-65,on_time,409.0,60.0,12,30000.0,18182.0,1.3,1
20000.0,22250.0,15,False,Other,11.1393496,10.2920413,EcoBank,Permanent,36-50,late,411.0,60.0,7,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.9857698,7.4917081,First Bank,Permanent,36-50,late,401.0,60.0,3,10000.0,10000.0,1.15,1
40000.0,44000.0,30,False,Other,7.4579127,9.0765736,GT Bank,Permanent,36-50,on_time,417.0,60.0,9,30000.0,18750.0,1.19,1
10000.0,13000.0,30,False,Savings,3.2594445,6.5570112,GT Bank,Permanent,36-50,on_time,419.0,60.0,3,10000.0,10000.0,1.3,1
30000.0,34500.0,30,False,Savings,6.1780556,5.4257996,First Bank,unknown,36-50,late,415.0,60.0,10,30000.0,20000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.3965242,6.6279429,GT Bank,Permanent,36-50,late,406.0,73.0,4,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.2858723,6.5824439,Access Bank,Unemployed,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,13000.0,30,False,Savings,7.1233193,4.8834997,EcoBank,Permanent,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,13000.0,30,False,Savings,3.8210848,7.3326277,GT Bank,Permanent,36-50,late,415.0,60.0,3,10000.0,10000.0,1.3,0
10000.0,11500.0,15,False,Savings,3.1727935,6.6832653,First Bank,unknown,51-65,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
40000.0,44000.0,30,False,Other,3.3022556,6.636865,UBA,Permanent,36-50,on_time,415.0,60.0,11,40000.0,24000.0,1.095,1
40000.0,44000.0,30,False,Other,3.3526543,6.456209,First Bank,Self-Employed,36-50,late,414.0,60.0,13,40000.0,21667.0,1.15,1
10000.0,13000.0,30,False,Savings,3.70037,7.3943183,Access Bank,Permanent,36-50,late,422.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Other,3.3718018,6.5169394,UBA,Permanent,36-50,late,415.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,11500.0,15,True,Savings,3.3661119,6.5975949,GT Bank,unknown,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,0
40000.0,44000.0,30,False,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,36-50,on_time,412.0,60.0,15,40000.0,26429.0,1.1466666666666667,1
30000.0,34500.0,30,False,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,36-50,on_time,413.0,60.0,10,30000.0,20000.0,1.095,1
10000.0,13000.0,30,True,Savings,3.345346,6.5617308,GT Bank,Permanent,36-50,on_time,423.0,61.0,3,10000.0,10000.0,1.3,1
10000.0,11500.0,15,True,Savings,3.5246642,6.6592427,First Bank,Permanent,26-35,on_time,418.0,61.0,2,10000.0,10000.0,1.15,0
25000.0,28750.0,30,False,Savings,7.1694297,9.2174068,GT Bank,unknown,36-50,late,409.0,60.0,7,20000.0,13333.0,1.15,1
10000.0,13000.0,30,False,Savings,3.8701435,7.3979258,GT Bank,Permanent,36-50,late,419.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.9809867,7.4239296,GT Bank,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.35763,6.668355,GT Bank,Permanent,36-50,on_time,419.0,60.0,3,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,6.8004083,6.1594433,Union Bank,Permanent,26-35,late,415.0,60.0,4,10000.0,10000.0,1.15,1
10000.0,11500.0,15,True,Savings,3.2205031,6.5319046,GT Bank,Permanent,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
20000.0,22250.0,15,False,Savings,3.479829,6.4489694,GT Bank,Permanent,36-50,on_time,417.0,60.0,5,20000.0,12500.0,1.225,1
10000.0,13000.0,30,False,Savings,3.259777,6.5532982,UBA,Permanent,26-35,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,7.4401471,8.9494179,First Bank,unknown,36-50,late,425.0,60.0,5,20000.0,12500.0,1.3,1
20000.0,24500.0,30,False,Other,3.4085368,6.4281638,First Bank,Permanent,36-50,late,414.0,60.0,10,20000.0,13333.0,1.225,1
20000.0,24500.0,30,False,Savings,3.2934205,6.6400639,FCMB,Permanent,36-50,late,421.0,60.0,4,10000.0,10000.0,1.3,1
20000.0,22250.0,15,False,Other,5.6140915,6.3906691,UBA,Student,26-35,on_time,418.0,60.0,5,20000.0,15000.0,1.225,1
10000.0,13000.0,30,True,Savings,3.3594054,6.605609,UBA,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,2.957738,6.5342122,GT Bank,Permanent,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
40000.0,44000.0,30,False,Other,12.4805166,9.2099548,GT Bank,Permanent,36-50,late,412.0,60.0,15,40000.0,29286.0,1.15,1
10000.0,11500.0,15,False,Savings,3.30555,6.5103567,GT Bank,unknown,36-50,on_time,416.0,60.0,3,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.9036073,7.3393735,GT Bank,Permanent,36-50,on_time,421.0,61.0,4,10000.0,10000.0,1.3,1
10000.0,13000.0,30,True,Savings,3.6595105,6.6681408,GT Bank,Permanent,36-50,late,418.0,61.0,2,10000.0,10000.0,1.15,1
30000.0,34500.0,30,False,Other,8.6713276,9.0830135,GT Bank,Permanent,36-50,on_time,419.0,60.0,8,20000.0,14286.0,1.225,1
20000.0,22250.0,15,False,Savings,3.5579715,6.4634231,GT Bank,Permanent,36-50,on_time,414.0,60.0,9,30000.0,17500.0,1.19,1
20000.0,24500.0,30,False,Savings,5.3269784,7.799699,Access Bank,Permanent,51-65,on_time,419.0,60.0,6,20000.0,14000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.5159825,6.7062641,Zenith Bank,Permanent,36-50,on_time,422.0,61.0,3,10000.0,10000.0,1.15,1
10000.0,13000.0,30,False,Savings,3.2643932,6.5667918,GT Bank,unknown,36-50,on_time,405.0,60.0,4,10000.0,10000.0,1.15,0
20000.0,24500.0,30,False,Current,3.9074055,6.8171079,UBA,Permanent,36-50,on_time,425.0,60.0,4,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,3.3229955,6.6538756,Access Bank,unknown,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
